"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Australia,"190,624",,"1,888",,"167,278",,,,,,,,
Uzbekistan,"189,915",,"1,358",,"186,191",,,,,,,,
Kyrgyzstan,"182,425",,"2,707",,"176,909",,,,,,,,
Finland,"170,285",,"1,230",,"46,000",,,,,,,,
Afghanistan,"156,610",,"7,294",,"129,263",,,,,,,,
Montenegro,"152,411",,"2,216",,"145,557",,,,,,,,
Mozambique,"151,427",,"1,936",,"149,368",,,,,,,,
Zimbabwe,"133,438",,"4,697",,"128,287",,,,,,,,
Ghana,"130,649",,"1,206",,"128,331",,,,,,,,
Namibia,"129,060",,"3,564",,"125,354",,,,,,,,
Uganda,"126,965",,"3,239",,"97,025",,,,,,,,
Cyprus,"124,225",,577,,"90,755",,,,,,,,
Cambodia,"119,588",,"2,872",,"115,979",,,,,,,,
El Salvador,"117,884",,"3,728",,"100,780",,,,,,,,
Cameroon,"106,190",,"1,770",,"102,716",,,,,,,,
Rwanda,"100,136",,"1,338",,"45,519",,,,,,,,
Jamaica,"90,209",,"2,327",,"60,594",,,,,,,,
Maldives,"89,840",,247,,"87,384",,,,,,,,
Luxembourg,"84,248",,855,,"80,572",,,,,,,,
Senegal,"73,958",,"1,881",,"72,063",,,,,,,,
Angola,"64,913",,"1,727",,"61,687",,,,,,,,
Trinidad and Tobago,"62,267",,"1,858",,"53,578",,,,,,,,
Malawi,"61,843",,"2,302",,"58,604",,,,,,,,
Ivory Coast,"61,511",,702,,"60,400",,,,,,,,
DRC,"57,729",,"1,099",,"50,930",,,,,,,,
Réunion,"55,865",,376,,"54,058",,,,,,,,
Laos,"55,018",,104,,"6,558",,,,,,,,
Guadeloupe,"54,920",,745,,"2,250",,,,,,,,
Fiji,"52,397",,679,,"50,316",,,,,,,,
Suriname,"50,078",,"1,139",,"29,529",,,,,,,,
Eswatini,"46,472",,"1,245",,"45,204",,,,,,,,
Syria,"46,275",,"2,666",,"27,675",,,,,,,,
French Guiana,"45,366",,322,,"11,254",,,,,,,,
Martinique,"43,881",,700,,104,,,,,,,,
Madagascar,"43,672",,964,,"41,322",,,,,,,,
Sudan,"40,238",,"3,099",,"32,905",,,,,,,,
French Polynesia,"40,178",,636,,"33,500",,,,,,,,
Cabo Verde,"38,296",,350,,"37,857",,,,,,,,
Malta,"38,255",,462,,"36,797",,,,,,,,
Mauritania,"38,133",,807,,"36,570",,,,,,,,
Guyana,"36,817",,959,,"33,504",,,,,,,,
Gabon,"36,692",,266,,"30,083",,,,,,,,
Papua New Guinea,"32,985",,436,,"31,244",,,,,,,,
Guinea,"30,715",,387,,"29,650",,,,,,,,
Belize,"28,899",,534,,"26,418",,,,,,,,
Tanzania,"26,196",,725,,N/A,,,,,,,,
Togo,"26,158",,243,,"25,813",,,,,,,,
Benin,"24,833",,161,,"24,546",,,,,,,,
Haiti,"24,543",,708,,"20,675",,,,,,,,
Somalia,"22,837",,"1,313",,"11,189",,,,,,,,
Seychelles,"22,633",,122,,"22,191",,,,,,,,
Bahamas,"22,572",,665,,"21,512",,,,,,,,
Barbados,"22,093",,193,,"13,639",,,,,,,,
Lesotho,"21,691",,661,,"13,098",,,,,,,,
Mayotte,"20,769",,185,,"2,964",,,,,,,,
Burundi,"20,221",,38,,773,,,,,,,,
Timor-Leste,"19,810",,122,,"19,682",,,,,,,,
